"filename", "language", "YAML", "XML", "Dart", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/mate/mate_warning.dart", "Dart", 0, 0, 111, 0, 0, 5, 116
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/post_location.dart", "Dart", 0, 0, 221, 0, 0, 15, 236
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/profile/favorites_screen.dart", "Dart", 0, 0, 261, 0, 2, 22, 285
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/profile/posts_Screen.dart", "Dart", 0, 0, 268, 0, 0, 21, 289
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/profile/profile_screen.dart", "Dart", 0, 0, 786, 0, 0, 20, 806
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/splash_screen.dart", "Dart", 0, 0, 60, 0, 0, 11, 71
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/welcome_screen.dart", "Dart", 0, 0, 19, 0, 0, 3, 22
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/bloc_disposal.dart", "Dart", 0, 0, 3, 0, 0, 1, 4
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/constants_util.dart", "Dart", 0, 0, 68, 0, 12, 8, 88
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/custom_animated_list.dart", "Dart", 0, 0, 64, 0, 1, 8, 73
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/decision_util.dart", "Dart", 0, 0, 210, 0, 5, 21, 236
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/dog_util.dart", "Dart", 0, 0, 522, 0, 0, 7, 529
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/enums.dart", "Dart", 0, 0, 66, 0, 0, 15, 81
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/extensions_util.dart", "Dart", 0, 0, 166, 0, 0, 26, 192
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/firestore_util.dart", "Dart", 0, 0, 155, 0, 3, 38, 196
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/general_functions.dart", "Dart", 0, 0, 93, 0, 1, 9, 103
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/laucnher_class.dart", "Dart", 0, 0, 228, 0, 0, 6, 234
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/local_storage.dart", "Dart", 0, 0, 170, 0, 0, 31, 201
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/location_util.dart", "Dart", 0, 0, 169, 0, 6, 33, 208
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/mate_warnings.dart", "Dart", 0, 0, 12, 0, 0, 11, 23
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/pagination_util.dart", "Dart", 0, 0, 96, 0, 2, 25, 123
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/privacy_policy.dart", "Dart", 0, 0, 48, 0, 0, 26, 74
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/sentry_util.dart", "Dart", 0, 0, 23, 0, 7, 9, 39
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/styles.dart", "Dart", 0, 0, 104, 0, 0, 8, 112
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/terms_and_conditions.dart", "Dart", 0, 0, 104, 0, 0, 48, 152
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/ui_functions.dart", "Dart", 0, 0, 140, 0, 0, 7, 147
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/animated_header.dart", "Dart", 0, 0, 53, 0, 0, 8, 61
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/breed_filter_widget.dart", "Dart", 0, 0, 229, 0, 1, 19, 249
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/circle_indicator_widget.dart", "Dart", 0, 0, 38, 0, 0, 2, 40
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/coat_color_filter_widget.dart", "Dart", 0, 0, 84, 0, 0, 8, 92
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/delete_post_button.dart", "Dart", 0, 0, 295, 0, 0, 16, 311
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/fade_in_widget.dart", "Dart", 0, 0, 29, 0, 0, 6, 35
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_buttons_widget.dart", "Dart", 0, 0, 126, 0, 1, 5, 132
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_check_box.dart", "Dart", 0, 0, 87, 0, 0, 7, 94
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_choice_chip.dart", "Dart", 0, 0, 69, 0, 0, 7, 76
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/gender_filter_widget.dart", "Dart", 0, 0, 138, 0, 0, 11, 149
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/image_preview_widget.dart", "Dart", 0, 0, 179, 0, 1, 19, 199
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/image_slide_widget.dart", "Dart", 0, 0, 157, 0, 1, 18, 176
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/input_fields.dart", "Dart", 0, 0, 304, 0, 1, 17, 322
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_access_denied.dart", "Dart", 0, 0, 100, 0, 0, 4, 104
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_button.dart", "Dart", 0, 0, 44, 0, 0, 3, 47
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_search_bar.dart", "Dart", 0, 0, 225, 0, 1, 11, 237
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_widget.dart", "Dart", 0, 0, 58, 0, 0, 5, 63
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/no_connection_widget.dart", "Dart", 0, 0, 47, 0, 0, 4, 51
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/no_data_widget.dart", "Dart", 0, 0, 81, 0, 0, 5, 86
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/post_type_button.dart", "Dart", 0, 0, 136, 0, 0, 4, 140
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/progress_card_widget.dart", "Dart", 0, 0, 58, 0, 0, 3, 61
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/sign_in_snackbar_widget.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/size_filter_widget.dart", "Dart", 0, 0, 200, 0, 0, 10, 210
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/unknown_error_widget.dart", "Dart", 0, 0, 63, 0, 0, 6, 69
"/Users/hadihammoud/development/flutter projects/dog_pal/pubspec.yaml", "YAML", 79, 0, 0, 0, 10, 25, 114
"/Users/hadihammoud/development/flutter projects/dog_pal/test/firestore_pagination_test.dart", "Dart", 0, 0, 309, 0, 6, 70, 385
"/Users/hadihammoud/development/flutter projects/dog_pal/test/local_storage_test.dart", "Dart", 0, 0, 87, 0, 2, 19, 108
"/Users/hadihammoud/development/flutter projects/dog_pal/test/utility_test.dart", "Dart", 0, 0, 66, 0, 1, 16, 83
"Total", "-", 79, 18, 13562, 10, 113, 1499, 15281
