"filename", "language", "YAML", "Dart", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/profile/posts_Screen.dart", "Dart", 0, 271, 0, 0, 22, 293
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/profile/profile_screen.dart", "Dart", 0, 755, 0, 0, 19, 774
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/welcome_screen.dart", "Dart", 0, 19, 0, 0, 3, 22
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/bloc_disposal.dart", "Dart", 0, 3, 0, 0, 1, 4
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/constants_util.dart", "Dart", 0, 68, 0, 12, 8, 88
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/custom_animated_list.dart", "Dart", 0, 64, 0, 1, 8, 73
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/decision_util.dart", "Dart", 0, 304, 0, 6, 35, 345
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/dog_util.dart", "Dart", 0, 522, 0, 0, 7, 529
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/extensions_util.dart", "Dart", 0, 166, 0, 0, 26, 192
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/firestore_util.dart", "Dart", 0, 155, 0, 3, 38, 196
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/general_functions.dart", "Dart", 0, 109, 0, 1, 11, 121
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/laucnher_class.dart", "Dart", 0, 228, 0, 0, 6, 234
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/local_storage.dart", "Dart", 0, 170, 0, 0, 31, 201
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/location_util.dart", "Dart", 0, 180, 0, 6, 34, 220
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/mate_warnings.dart", "Dart", 0, 12, 0, 0, 11, 23
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/pagination_util.dart", "Dart", 0, 97, 0, 2, 25, 124
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/privacy_policy.dart", "Dart", 0, 48, 0, 0, 26, 74
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/sentry_util.dart", "Dart", 0, 23, 0, 7, 9, 39
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/styles.dart", "Dart", 0, 32, 0, 0, 8, 40
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/terms_and_conditions.dart", "Dart", 0, 104, 0, 0, 48, 152
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/utils/ui_functions.dart", "Dart", 0, 177, 0, 0, 8, 185
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/animated_header.dart", "Dart", 0, 53, 0, 0, 9, 62
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/breed_filter_widget.dart", "Dart", 0, 230, 0, 0, 18, 248
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/circle_indicator_widget.dart", "Dart", 0, 38, 0, 0, 2, 40
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/coat_color_filter_widget.dart", "Dart", 0, 77, 0, 0, 8, 85
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/delete_post_button.dart", "Dart", 0, 152, 0, 4, 21, 177
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/fade_in_widget.dart", "Dart", 0, 29, 0, 0, 6, 35
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_buttons_widget.dart", "Dart", 0, 128, 0, 0, 6, 134
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_check_box.dart", "Dart", 0, 87, 0, 0, 7, 94
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/filter_choice_chip.dart", "Dart", 0, 62, 0, 0, 7, 69
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/gender_filter_widget.dart", "Dart", 0, 120, 0, 0, 9, 129
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/image_preview_widget.dart", "Dart", 0, 155, 0, 1, 11, 167
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/image_slide_widget.dart", "Dart", 0, 160, 0, 1, 19, 180
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/input_fields.dart", "Dart", 0, 304, 0, 1, 17, 322
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_access_denied.dart", "Dart", 0, 100, 0, 0, 4, 104
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_search_bar.dart", "Dart", 0, 213, 0, 0, 18, 231
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/location_widget.dart", "Dart", 0, 69, 0, 0, 6, 75
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/no_connection_widget.dart", "Dart", 0, 47, 0, 0, 4, 51
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/no_data_widget.dart", "Dart", 0, 81, 0, 0, 5, 86
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/progress_card_widget.dart", "Dart", 0, 58, 0, 0, 3, 61
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/sign_in_snackbar_widget.dart", "Dart", 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/size_filter_widget.dart", "Dart", 0, 186, 0, 0, 10, 196
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/widgets/unknown_error_widget.dart", "Dart", 0, 63, 0, 0, 6, 69
"/Users/hadihammoud/development/flutter projects/dog_pal/pubspec.yaml", "YAML", 79, 0, 0, 10, 23, 112
"/Users/hadihammoud/development/flutter projects/dog_pal/test/firestore_pagination_test.dart", "Dart", 0, 309, 0, 6, 70, 385
"/Users/hadihammoud/development/flutter projects/dog_pal/test/local_storage_test.dart", "Dart", 0, 90, 0, 2, 22, 114
"/Users/hadihammoud/development/flutter projects/dog_pal/test/utility_test.dart", "Dart", 0, 66, 0, 1, 16, 83
"Total", "-", 79, 13117, 10, 121, 1515, 14842
